EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,CompanyLinkToGPGInfo,ResponsiblePerson,EmployerSize,CurrentName,SubmittedAfterTheDeadline
DIAL-A-TV (RENTALS) LIMITED,"Units 1-, 3 The Green,
Abbots Ripton,
Huntingdon,
PE28 2PL",07104275,77299,6.40,6.00,15.50,-34.70,67.30,93.80,60.00,40.00,50.00,50.00,60.00,40.00,70.00,30.00,https://www.dialatv.co.uk/885_gpg_final_results.pdf,Nick Heffer (HR Director),Less than 250,DIAL-A-TV (RENTALS) LIMITED,False
ECCO SAFETY GROUP (UK) LIMITED,"Unit 1, Green Park,
Coal Road,
Leeds,
United Kingdom,
LS14 1FB",00406476,29310,3.00,-5.00,10.30,40.00,10.00,31.00,62.00,38.00,75.00,25.00,50.00,50.00,75.00,25.00,https://www.eccoesg.co.uk/gb/en/news/genderpaygap,Lisa-Marie Cunningham (Director of Human Resources),250 to 499,ECCO SAFETY GROUP (UK) LIMITED,False
EDA LEARNING AND DEVELOPMENT LIMITED,"302, Cirencester Business Park, Love Lane,
Cirencester,
Gloucestershire,
GL7 1XD",07640458,85590,1.90,0.00,0.00,0.00,0.00,0.00,77.90,22.10,79.10,20.90,87.50,12.50,88.30,11.70,,Duncan Naylor (Director),250 to 499,EDA LEARNING AND DEVELOPMENT LIMITED,False
EDUCATION PARTNERSHIP TRUST,"Education Partnership Trust, Pleckgate Road,
Blackburn,
England,
BB1 8QA",07950891,85590,13.80,22.40,100.00,100.00,1.20,0.00,22.40,77.60,23.50,76.50,41.20,58.80,31.30,68.70,,Sharon Roscoe (Chief Executive),250 to 499,EDUCATION PARTNERSHIP TRUST,False
ELITE SECURITY (NW) LIMITED,"71 Chorley Old Road,
Bolton,
United Kingdom,
BL1 3AJ",05642847,80100,-0.20,0.50,0.00,0.00,0.00,0.00,96.40,3.60,92.70,7.30,90.90,9.10,92.60,7.40,,karl Ince (Director),250 to 499,ELITE SECURITY (NW) LIMITED,False
ENOTRIA WINECELLARS LIMITED,"23, Cumberland Avenue,
London,
NW10 7RX",01071904,46342,9.10,-12.10,35.10,-19.60,35.00,28.00,95.30,4.70,64.10,35.90,54.70,45.30,82.50,17.50,,Gemma Bolton (Director of HR),250 to 499,ENOTRIA WINECELLARS LIMITED,False
ENZA SOLUTIONS LIMITED,"The Enza Building Leacroft Road,
Risley,
Warrington,
Cheshire,
United Kingdom,
WA3 6NN",08865389,78300,11.50,12.90,0.50,-31.40,89.20,86.50,88.20,11.80,84.20,15.80,88.20,11.80,94.70,5.30,http://www.roanzatruckandvan.co.uk/pages/about-us/careers,Mike Jones (Finance Director),250 to 499,ENZA SOLUTIONS LIMITED,False
EPI GENESYS LIMITED,"40, Leavygreave Road,
Sheffield,
S3 7RD",06388971,"62012,
62090",13.30,10.30,0.00,0.00,0.00,0.00,75.00,25.00,66.70,33.30,75.00,25.00,100.00,0.00,https://www.epigenesys.org.uk/gender-pay-gap,Christopher Murray (Managing Director),Less than 250,EPI GENESYS LIMITED,False
EVER BRITE CLEANING SERVICES LIMITED,"Unit J Merlin Centre, Gatehouse Close,
Aylesbury,
Buckinghamshire,
England,
HP19 8DP",01307015,81210,1.80,0.60,0.00,0.00,0.00,0.00,28.10,71.90,24.00,76.00,28.10,71.90,33.70,66.30,http://www.everbritecleaning.co.uk/,Avi Levison (Managing Director),250 to 499,EVER BRITE CLEANING SERVICES LIMITED,False
EVERISCONSULTANCY LIMITED,"Uk House, 180 Oxford Street,
London,
England,
W1D 1NN",07235059,"62012,
62020,
62030,
70229",11.40,12.30,-11.50,-67.90,16.00,17.00,67.00,33.00,79.00,21.00,75.30,24.70,84.70,15.30,http://everis.co.uk/wp-content/uploads/2018/04/everis-consultancy-Gender-Pay-Gap-Report-2018.pdf,Jaime Fernandez (HR Director),250 to 499,EVERISCONSULTANCY LIMITED,False
FLINT INK (U.K.) LIMITED,"PO BOX 186,
Old Heath Road,
Wolverhampton,
United Kingdom,
WV1 2QT",00326153,20302,48.30,2.30,53.40,-34.90,46.10,38.10,82.60,17.40,92.00,8.00,87.40,12.60,89.50,10.50,https://flintgrp.com/media/642647/gender-pay-report-april-2018.pdf,Russell Taylor (Senior VP Human Resources),250 to 499,FLINT INK (U.K.) LIMITED,False
FLOW ENERGY LIMITED,"Felaw Maltings Ground Floor, 48 Felaw Street,
Ipswich,
Ip28pn,
IP2 8PN",07489062,35140,10.00,5.20,12.40,-9.50,94.30,92.20,53.60,46.40,34.50,65.50,50.90,49.10,51.80,48.20,,Nigel Canham (Group CFO),Less than 250,FLOW ENERGY LIMITED,False
"FUTURES ADVICE, SKILLS AND EMPLOYMENT LIMITED","2a Sherwood Rise,
Nottingham,
Nottinghamshire,
United Kingdom,
NG7 6JN",04172770,85600,12.00,4.00,-73.00,-73.00,2.60,0.50,18.20,81.80,31.80,68.20,22.40,77.60,31.30,68.70,https://www.futuresadvice.co.uk/,David Straw (Finance and Corporate Manager),250 to 499,"FUTURES ADVICE, SKILLS AND EMPLOYMENT LIMITED",False
