EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,CompanyLinkToGPGInfo,ResponsiblePerson,EmployerSize,CurrentName,SubmittedAfterTheDeadline
LOCHLYN TOREY LIMITED,"Unit 15, Basepoint Waterlooville,
Waterberry Drive,
Waterlooville,
Hampshire,
PO7 7TH",08876832,82990,0.00,0.00,0.00,0.00,0.00,0.00,96.40,3.60,96.40,3.60,96.50,3.50,96.40,3.60,http://lochlyntorey.co.uk,Ian Barrett (Finance Director),500 to 999,LOCHLYN TOREY LIMITED,False
LOGOPLASTE UK LIMITED,"Apex Plaza,
Forbury Road,
Reading,
Berkshire,
United Kingdom,
RG1 1AX",03834369,"22220,
70229,
82990",-65.00,-18.00,-25.00,22.00,13.00,35.00,100.00,0.00,92.00,8.00,97.00,3.00,89.00,11.00,,Lisa Hillburn (HR Director Europe),250 to 499,LOGOPLASTE UK LIMITED,False
MALTHURST RETAIL LIMITED,"Vincent House, 4 Grove Lane,
Epping,
Essex,
CM16 4LH",03313799,47300,21.70,39.70,16.40,63.00,92.00,93.00,25.60,74.40,34.10,65.90,88.60,11.40,77.30,22.70,,Karen Dickens (Chief Executive Officer MRH (GB)),Less than 250,MALTHURST RETAIL LIMITED,False
MARY HARE,"Arlington Manor, Snelsmore Common,
Newbury,
Berkshire,
RG14 3BQ",03085006,"85200,
85310,
85421,
85422",14.00,11.00,100.00,100.00,1.50,0.00,25.00,75.00,17.00,83.00,32.00,68.00,28.00,72.00,https://www.maryhare.org.uk/about-us/gender-pay-gap-statement,Peter Gale (Principal/CEO),250 to 499,MARY HARE,False
Mcgill & Co Ltd,"Harrison Road,
Dundee,
Tayside,
United Kingdom,
DD2 3SN",SC074785,"43210,
43220,
43290,
43390",25.30,34.90,100.00,100.00,14.40,0.00,85.70,14.30,91.50,8.50,98.60,1.40,98.60,1.40,https://www.mcgill.co.uk/,Neil Lennox (Finance Director),500 to 999,Mcgill & Co Ltd,False
MICHA DESIGN COMPANY LIMITED(THE),"Unit 1, Bridgegate Business Park,
Gatehouse Way,
Aylesbury,
Buckinghamshire,
HP19 8XN",02072488,27900,0.00,0.00,0.00,0.00,100.00,100.00,50.00,50.00,50.00,50.00,50.00,50.00,66.00,34.00,,Spencer Cocomazzi (General Manager),Less than 250,MICHA DESIGN COMPANY LIMITED(THE),False
MINHOCO 35 LIMITED,"C/O Chg House, 31-40 West Parade,
Newcastle Upon Tyne,
United Kingdom,
NE4 7LB",10382013,55100,12.60,4.00,0.00,0.00,0.00,0.00,39.00,61.00,21.00,79.00,63.00,37.00,57.00,43.00,http://www.cairnhotelgroup.com/gender-pay-gap/,Danielle Brown (Payroll Manager),250 to 499,MINHOCO 35 LIMITED,False
Mission Care,"The Living Building,
3 Sherman Road,
Bromley, Kent,
BR1 3JH",,87100,22.00,21.00,100.00,100.00,0.00,4.00,12.00,88.00,15.00,85.00,23.00,77.00,21.00,79.00,,Han Fan (Finance Director),250 to 499,Mission Care,False
Monzo Bank Limited,"230 City Road,
EC1V 2QY",09446231,"64191,
64999",18.00,14.00,16.00,-12.00,24.00,23.00,51.00,49.00,67.00,33.00,62.00,38.00,80.00,20.00,https://monzo.com/blog/2018/04/12/gender-pay-gap/,Tara Mansfield (Head of People),250 to 499,Monzo Bank Limited,False
NEW BEGINNINGS (NORTH EAST) LIMITED,"1, The Meadows,
Newcastle Upon Tyne,
NE3 3NA",03086013,88100,0.00,0.00,0.00,0.00,100.00,100.00,30.00,70.00,35.00,65.00,33.00,67.00,20.00,80.00,http://www.nbneltd.co.uk,Trevor Gray (Director),250 to 499,NEW BEGINNINGS (NORTH EAST) LIMITED,False
OFFICE ANGELS LIMITED,"Millennium Bridge House,
2 Lambeth Hill,
London,
United Kingdom,
EC4V 4BG",01985032,78200,-6.40,-3.30,-156.70,-73.50,1.00,4.40,19.10,80.90,22.70,77.30,17.40,82.60,17.90,82.10,https://www.office-angels.com/gender-pay-gap,Richard Thompson (Regional Head of Human Resources),1000 to 4999,OFFICE ANGELS LIMITED,False
ORBITAL UMBRELLA LIMITED,"Digital Media Centre,
County Way,
Barnsley,
South Yorkshire,
United Kingdom,
S70 2JW",07427816,82110,0.70,0.30,0.00,0.00,0.00,0.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,,Hayley Darby (Operations Manager),1000 to 4999,ORBITAL UMBRELLA LIMITED,False
Outwood Grange Academies Trust,"Potovens Lane,
Outwood,
Wakefield,
West Yorkshire,
United Kingdom,
WF1 2PF",06995649,"1,
85310,
85320,
85590",26.90,50.40,0.00,0.00,0.00,0.00,12.00,88.00,28.00,72.00,30.00,70.00,38.00,62.00,,,1000 to 4999,Outwood Grange Academies Trust,False
PCL TRANSPORT 24/7 LIMITED,"814, Leigh Road,
Slough,
England,
SL1 4BD",06816093,49410,5.50,11.10,-17.90,-3.60,18.40,1.00,65.30,34.70,78.00,22.00,91.10,8.90,91.10,8.90,http://www.pcl-transport.com,Paula Stenning (Head of HR),500 to 999,PCL TRANSPORT 24/7 LIMITED,False
PEARTREE CLEANING SERVICES LIMITED,"Peartree House 1,
Britannia Road,
Brentwood,
Essex,
United Kingdom,
CM14 5LD",02045868,96090,2.00,2.00,0.00,0.00,0.00,0.00,47.00,53.00,32.00,68.00,54.00,46.00,19.00,81.00,http://www.peartreecleaning.co.uk/gender-pay-gap/,Stuart Conroy (Commercial Director),1000 to 4999,PEARTREE CLEANING SERVICES LIMITED,False
PGL ENTERPRISES LIMITED,"Unit 11 Mold Business Park, Wrexham Road,
Mold,
Wales,
CH7 1XP",05490770,56102,2.00,9.00,41.00,33.00,7.00,6.00,54.00,46.00,48.00,52.00,55.00,45.00,54.00,46.00,,Phillip Lowndes (Director),500 to 999,PGL ENTERPRISES LIMITED,False
PICKFORDS MOVE MANAGEMENT LIMITED,"Pickfords Park Laxcon Close,
Drury Way,
London,
United Kingdom,
NW10 0TG",08044368,"52101,
52102,
52103",0.90,21.30,30.50,43.50,23.60,46.60,79.00,21.00,78.30,21.70,61.90,38.10,72.60,27.40,https://www.pickfords.co.uk/docs/default-source/default-document-library/gender-pay-gap.pdf?sfvrsn=2,Mark Taylor (Director),250 to 499,PICKFORDS MOVE MANAGEMENT LIMITED,False
PONTOON EUROPE LIMITED,"Millennium Bridge House,
2 Lambeth Hill,
London,
United Kingdom,
EC4V 4BG",03399532,"78109,
78200",10.00,0.00,1.10,5.70,38.50,40.40,46.90,53.10,59.40,40.60,47.20,52.80,56.30,43.70,https://www.pontoonsolutions.com/gender-pay-gap-messaging/,Richard Thompson (Regional Head of Human Resources),1000 to 4999,PONTOON EUROPE LIMITED,False
PORTAL VOICE AND DATA LIMITED,"Stonebeck, The Street, Gunthorpe,
Melton Constable,
Norfolk,
NR24 2NS",03694599,61900,20.00,7.00,-361.00,-45.00,11.00,38.00,50.00,50.00,50.00,50.00,50.00,50.00,75.00,25.00,http://www.portal-comms.co.uk/blog/gender-pay-gap-report,Christopher Drew (Financial Controller),Less than 250,PORTAL VOICE AND DATA LIMITED,False
POWERBANKS LIMITED,"Avon House, Arden Road,
Ealing,
London,
W13 8RP",04960800,56102,3.30,1.70,10.60,-1.70,4.10,3.10,50.00,50.00,60.00,40.00,54.00,46.00,50.00,50.00,,PRAGNESH PATEL (PAYROLL MANAGER),500 to 999,POWERBANKS LIMITED,False
PREMIER CARE LIMITED,"Premier House Union Street,
Pendlebury, Swinton,
Manchester,
United Kingdom,
M27 4HL",05213770,88100,0.00,0.00,0.00,0.00,1.00,2.00,10.00,90.00,25.00,75.00,20.00,80.00,50.00,50.00,,John Regan (Director),1000 to 4999,PREMIER CARE LIMITED,False
PRIVATE TUITION SERVICES LTD,"1-19, Wakefield Street,
2nd & 3rd Floor,
London,
N18 2BZ",05142566,85310,2.60,0.00,0.00,0.00,0.00,0.00,35.00,65.00,25.00,75.00,24.00,76.00,25.00,75.00,,Dr Nazir Ahmed (Director),250 to 499,PRIVATE TUITION SERVICES LTD,False
PUBLIC RESTAURANT PARTNER LIMITED,"COMPANY OF COOKS,
Dephna House,
14 Cumberland Avenue,
Park Royal,
Middlesex,
England,
NW10 7QL",05111519,"56101,
56102,
56103,
56210",6.20,0.00,0.00,0.00,0.00,0.00,43.10,56.90,56.60,43.40,55.50,44.50,59.30,40.70,,Hitesh Padhair (Financial Controller),500 to 999,PUBLIC RESTAURANT PARTNER LIMITED,False
QUALITY CARE (EM) LIMITED,"5 Prospect Place Millennium Way,
Pride Park,
Derby,
United Kingdom,
DE24 8HG",04651403,87200,-12.00,-8.00,100.00,100.00,2.00,1.00,31.00,69.00,67.00,33.00,32.00,68.00,15.00,85.00,,Jamie Rankin (Director),250 to 499,QUALITY CARE (EM) LIMITED,False
RAPID RECRUIT LIMITED,"9a Hargreaves Street,
Burnley,
Lancashire,
United Kingdom,
BB11 1LH",06238229,78200,-4.10,0.00,8.00,8.00,0.30,1.10,63.10,36.90,70.40,29.60,73.80,26.20,69.70,30.30,http://www.rapid-recruit.com/gender-pay-gap/,James McKenna (Managing Director),500 to 999,RAPID RECRUIT LIMITED,False
RED RECRUITMENT PARTNERSHIP LIMITED,"28 St Mary Street,
Cardiff,
United Kingdom,
CF10 1AB",05374912,78200,-0.90,-0.70,134.20,316.60,20.00,21.00,66.00,34.00,52.00,48.00,60.00,40.00,56.00,44.00,,Helen Warhurst (Finance Manager),Less than 250,RED RECRUITMENT PARTNERSHIP LIMITED,False
REGENCY CLEANING SERVICES LIMITED,"Graffix House, Newtown Business Park,
Henley On Thames,
RG9 1HG",04257325,81210,0.00,-0.80,0.00,0.00,0.00,0.00,30.00,70.00,31.00,69.00,40.00,60.00,34.00,66.00,http://www.regencycleaning.co.uk/gender-pay-report/,Krysia Sheppard (Office Manager),250 to 499,REGENCY CLEANING SERVICES LIMITED,False
RESOURCE MANAGEMENT SOLUTIONS (NORTH EAST) LTD,"3, Victoria Road,
Darlington,
County Durham,
England,
DL1 5SJ",04107729,"78109,
78200,
78300",-1.40,-0.70,-21.40,-66.70,18.90,81.10,83.90,16.10,88.90,11.10,97.60,2.40,73.20,26.80,https://www.rms-recruitment.co.uk,Leon Butt (Finance Manager),250 to 499,RESOURCE MANAGEMENT SOLUTIONS (NORTH EAST) LTD,False
REVIUM GROUP LIMITED,"Hatch Farm Mill Lane, Sindlesham,
Wokingham,
Berkshire,
United Kingdom,
RG41 5DF",09788901,73110,-4.00,0.00,8.40,22.90,87.80,81.00,77.80,22.20,77.20,22.80,76.30,23.70,73.60,26.40,http://reviumgroup.com/gender-pay-gap/,Warren Richmond (Group Director),250 to 499,REVIUM GROUP LIMITED,False
RGIS INVENTORY SPECIALISTS LIMITED,"300 Trinity Park,
Bickenhill Lane,
Birmingham,
United Kingdom,
B37 7ES",03859648,74902,-8.80,-0.70,-65.30,11.70,4.90,6.20,80.30,19.70,77.40,22.60,78.40,21.60,73.40,26.60,,Anne Simmonds (European HR Director),1000 to 4999,RGIS INVENTORY SPECIALISTS LIMITED,False
Royal Devon And Exeter Nhs Foundation Trust General Charity,"Bowmoor House,
Barrack Road, Wonford,
Exeter,
EX2 5DW",,"1,
86210",25.30,4.90,43.20,33.30,7.00,1.00,24.50,75.50,16.20,83.80,17.10,82.90,31.10,68.90,http://www.rdehospital.nhs.uk/trust/diversity/equality_data.html,,"5000 to 19,999",Royal Devon And Exeter Nhs Foundation Trust General Charity,False
RYGOR HOLDINGS LIMITED,"The Broadway,
West Wilts Trading Estate,
Westbury,
Wiltshire,
United Kingdom,
BA13 4JX",06506121,82110,19.60,27.10,10.80,-4.90,46.10,53.00,67.20,32.80,75.70,24.30,91.70,8.30,92.30,7.70,http://www.rygor.co.uk/,Graham Drake (Director),500 to 999,RYGOR HOLDINGS LIMITED,False
S. CARTWRIGHT & SONS (COACHBUILDERS) LIMITED,"Head Office Atlantic Street,
Broadheath,
Altrincham,
Cheshire,
United Kingdom,
WA14 5EW",00687816,29100,-7.20,1.60,0.00,0.00,0.00,0.00,94.40,5.60,95.30,4.70,95.30,4.70,96.10,3.90,http://www.cartwright-group.co.uk/about-us/gender-pay/,Mark Cartwright (Group Managing Director),500 to 999,S. CARTWRIGHT & SONS (COACHBUILDERS) LIMITED,False
SAKA INDONESIA PANGKAH LIMITED,"35 Great St Helen's,
London,
United Kingdom,
EC3A 6AP",03076063,"6100,
6200",31.30,33.30,34.50,32.00,100.00,100.00,71.60,28.40,65.80,34.20,84.90,15.10,90.50,9.50,,Agus Santoso (HR & GA Manager),250 to 499,SAKA INDONESIA PANGKAH LIMITED,False
SILVERSTONE CIRCUITS LIMITED,"Silverstone Circuit, Towcester,
Northamptonshire,
United Kingdom,
NN12 8TN",00882843,93110,-2.70,-8.60,-10.50,64.80,6.10,10.30,50.00,50.00,71.20,28.80,49.30,50.70,56.20,43.80,http://www.silverstone.co.uk/wp-content/uploads/2018/02/Silverstone-Gender-Pay-Gap-Report-April-2018.pdf,Hannah Irving (Finance Director),250 to 499,SILVERSTONE CIRCUITS LIMITED,False
SIMPLY SUPPLY LIMITED,"119b, West Street,
Fareham,
Hampshire,
England,
PO16 0DU",06842573,82990,12.80,0.30,0.00,0.00,0.00,0.00,2.20,97.80,8.70,91.30,22.80,77.20,20.70,79.30,http://www.simplysupply.co.uk,Matthew Collins (Director),250 to 499,SIMPLY SUPPLY LIMITED,False
SINCLAIR MOTOR HOLDINGS LIMITED,"Sinclair Group Old Field Road,
Pencoed,
Bridgend,
Wales,
CF35 5LJ",04395583,45111,20.00,19.00,31.00,42.00,88.00,66.00,66.00,34.00,67.00,33.00,79.00,21.00,88.00,12.00,,Judith Sadler (Head of Human Resources),500 to 999,SINCLAIR MOTOR HOLDINGS LIMITED,False
SITA INFORMATION NETWORKING COMPUTING UK LIMITED,"C/O Sita Legal 1 London Gate,
252-254 Blyth Road,
Hayes,
Middlesex,
United Kingdom,
UB3 1BW",03995063,63990,8.00,9.00,18.00,15.00,87.00,92.00,74.00,26.00,80.00,20.00,84.00,16.00,82.00,18.00,,"Kenneth Pennington (Sr HR Country Manager, UK)",250 to 499,SITA INFORMATION NETWORKING COMPUTING UK LIMITED,False
SKIWORLD LIMITED,"Skiworld House,
3 Vencourt Place,
London,
United Kingdom,
W6 9NU",02874579,79120,4.70,0.00,16.60,8.30,92.50,92.80,47.00,53.00,50.00,50.00,50.00,50.00,58.00,42.00,https://skiworld.co.uk,G Faulds (Co Sec),250 to 499,SKIWORLD LIMITED,False
SOLON SOUTH WEST HOUSING ASSOCIATION LIMITED,"1 Newfoundland Court,
St Paul Street,
Bristol,
bs2 8an",IP21136R,,13.80,11.70,0.00,0.00,0.00,0.00,50.00,50.00,25.00,75.00,50.00,50.00,55.60,44.40,,Paul Ville (Chief Executive),Less than 250,SOLON SOUTH WEST HOUSING ASSOCIATION LIMITED,False
SOLUTIONS SK LIMITED,"Enterprise House Oakhurst Drive,
Off Bird Hall Lane,
Cheadle Heath Stockport,
Cheshire,
United Kingdom,
SK3 0XT",05844684,"38110,
42110,
56290,
80200",6.50,19.00,0.00,0.00,0.00,0.00,50.00,50.00,81.00,19.00,65.00,35.00,71.00,29.00,https://www.totallylocalcompany.co.uk,"Susan McKee (Head of HR, OD and Communications)",500 to 999,SOLUTIONS SK LIMITED,False
SPORTSWIFT LIMITED,"Century House,
Wakefield 41 Industrial Estate,
Wakefield,
West Yorkshire,
United Kingdom,
WF2 0XG",03493972,47190,11.50,-0.10,92.60,33.30,39.60,27.90,19.00,81.00,14.00,86.00,13.00,87.00,20.00,80.00,https://media.cardfactory.co.uk/images/assets/content/Gender_Pay_Gap_Report.pdf,Karen Hubbard (CEO),"5000 to 19,999",SPORTSWIFT LIMITED,False
ST MATTHEWS HOLDINGS LIMITED,"C/O MACINTYRE HUDSON,
Peterbridge House The Lakes,
3 The Lakes,
Northampton,
United Kingdom,
NN4 7HB",07714484,64209,-3.20,0.00,0.00,0.00,0.00,0.00,37.00,63.00,36.00,64.00,42.00,58.00,31.00,69.00,,Jan Hanrahan (FINANCE DIRECTOR),500 to 999,ST MATTHEWS HOLDINGS LIMITED,False
"SYSTAGENIX WOUND MANAGEMENT MANUFACTURING, LIMITED","2 City Place,
Beehive Ring Road,
Gatwick Airport,
West Sussex,
United Kingdom,
RH6 0PA",06682392,82990,19.70,24.10,32.00,28.00,54.70,46.90,35.10,64.90,34.00,66.00,55.30,44.70,72.00,28.00,http://www.systagenix.co.uk/gender-pay,Matthew Ellison (Site Director),250 to 499,"SYSTAGENIX WOUND MANAGEMENT MANUFACTURING, LIMITED",False
TASKMASTER RESOURCES LIMITED,"8 Leodis Court,
David Street Leeds,
United Kingdom,
LS11 5JJ",03289148,78109,5.80,11.10,28.20,19.60,84.00,83.00,29.00,71.00,24.00,76.00,43.00,57.00,38.00,62.00,,Andrew Skorupka (Director),250 to 499,TASKMASTER RESOURCES LIMITED,False
THE CALEDONIAN OPERATING COMPANY LIMITED,"4th Floor 35 New Bridge Street,
London,
United Kingdom,
EC4V 6BW",06315535,55100,2.70,-3.40,-38.80,-393.50,22.20,21.10,51.00,49.00,73.00,27.00,47.00,53.00,52.00,48.00,,Mohamed Shanil (Director),250 to 499,THE CALEDONIAN OPERATING COMPANY LIMITED,False
THE LIVERPOOL INSTITUTE FOR PERFORMING ARTS,"Mount Street, Liverpool,
Merseyside,
L1 9HF",02511501,85421,19.00,11.00,0.00,0.00,0.00,0.00,8.80,91.20,57.30,42.70,38.20,61.80,60.90,39.10,https://www.lipa.ac.uk/LIPA%20Media%20Assets/About%20us%20section/Equality%20and%20diversity/Gender%20Pay%20Gap%20Report%20March%202018.pdf,Ray Adams (Director of Administration and Personnel),500 to 999,THE LIVERPOOL INSTITUTE FOR PERFORMING ARTS,False
The Order of St. Augustine of the Mercy of Jesus,"St. George's Park,
Ditchling Common,
Ditchling,
RH15 0SF",,87100,14.90,0.20,100.00,4000.00,0.30,0.00,33.80,66.20,26.60,73.40,28.80,71.20,31.30,68.70,,Dawn Sanders (HR Director),250 to 499,The Order of St. Augustine of the Mercy of Jesus,False
THE PCS GROUP LIMITED,"3a, Horseshoe Close,
Oxgate Lane,
London,
NW2 7JJ",02127550,81100,3.00,0.00,0.00,0.00,0.00,0.50,31.60,68.40,50.00,50.00,58.30,41.70,51.00,49.00,http://www.thepcsgroup.co.uk/Index.aspx,Gary Lawley (Operations Director),500 to 999,THE PCS GROUP LIMITED,False
The Royal School for the Blind,"Newplan House,
41 East street,
Epsom,
KT171BL",,86900,3.60,-2.00,-10.70,0.00,5.40,7.00,21.00,79.00,19.00,81.00,22.00,78.00,21.00,79.00,https://www.seeability.org/,MARTIN BOYCE (Director of People),500 to 999,The Royal School for the Blind,False
THE SHEILING SPECIAL EDUCATION TRUST,"Central Office Horton Road,,
Ringwood,
Hampshire,
BH24 2EB",08116370,85590,4.20,2.50,0.00,0.00,0.00,0.00,21.80,78.20,26.50,73.50,31.90,68.10,26.50,73.50,http://www.thesheilingringwood.co.uk,Nick Sabin (Bursar),250 to 499,THE SHEILING SPECIAL EDUCATION TRUST,False
TOMASZDYL PR LTD,"11, College Place,
Southampton,
SO15 2FE",07915403,"73110,
78109",0.00,0.00,0.00,0.00,0.00,0.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,,John Stoffel (Business Development Manager),1000 to 4999,TOMASZDYL PR LTD,False
ULTIMATE INSURANCE SOLUTIONS LTD,"45, Westerham Road,
Sevenoaks,
Kent,
TN13 2QB",03299891,65120,23.90,4.00,-56.90,-32.90,31.00,27.10,41.30,58.70,21.30,78.70,20.00,80.00,44.00,56.00,,Tanya Gerrard-White (Director of HR & Talent Development),250 to 499,ULTIMATE INSURANCE SOLUTIONS LTD,False
VECTOR AEROSPACE INTERNATIONAL LIMITED,"Fleetlands,
Fareham Road,
Gosport,
Hampshire,
United Kingdom,
PO13 0AA",06404274,33160,10.00,12.00,12.00,13.00,9.00,9.00,80.00,20.00,94.00,6.00,93.00,7.00,93.00,7.00,,Kerry Howard (UK HR Director),500 to 999,VECTOR AEROSPACE INTERNATIONAL LIMITED,False
Voiceability Advocacy,"The Old Granary - Unit 1 Westwick,
Oakington,
Cambridge,
United Kingdom,
CB24 3AR",03798884,88990,2.00,1.00,0.00,0.00,0.00,0.00,37.00,63.00,24.00,76.00,21.00,79.00,37.00,63.00,https://www.voiceability.org/news/voiceability-gender-paygap-report,Sam Breckell (HR Director),250 to 499,Voiceability Advocacy,False
VOLKERRAIL GROUP LIMITED,"Hertford Road,
Hoddesdon,
Hertfordshire,
United Kingdom,
EN11 9BX",04930080,70100,32.20,28.90,50.60,38.30,77.30,75.90,67.20,32.80,89.40,10.60,92.50,7.50,92.60,7.40,http://www.volkerrail.co.uk/en/careers/equality-diversity-and-inclusion,Paul Tichiaz (HR Director),500 to 999,VOLKERRAIL GROUP LIMITED,False
W.C. ROWE (FALMOUTH) LIMITED,"Unit 1, Bickland Industrial Park,
Falmouth,
Cornwall,
TR11 4TA",01238149,10710,13.40,0.00,89.90,-10.00,17.80,59.20,36.10,63.90,41.70,58.30,44.40,55.60,66.20,33.80,,David Lean (Finance Director),250 to 499,W.C. ROWE (FALMOUTH) LIMITED,False
WE ARE TALENT LTD,"1a, High Street,
1a High Street Hounslow,
Hounslow,
Greater London,
TW3 1RH",08845895,78200,-9.50,0.00,0.00,0.00,0.00,0.00,48.30,51.70,48.30,51.70,37.90,62.10,25.00,75.00,https://www.wearetalent.co.uk,Padma Akella (Finance Director),500 to 999,WE ARE TALENT LTD,False
"WELLS CATHEDRAL SCHOOL, LIMITED","The Bursary, Wells Cathedral School,
College Road,
Wells,
Somerset,
United Kingdom,
BA5 2SX",00564883,"85100,
85200,
85310,
85520",30.60,57.40,0.00,0.00,0.00,0.00,12.50,87.50,29.60,70.40,27.80,72.20,42.30,57.70,http://wells.cathedral.school,Peter Knell (Bursar),250 to 499,"WELLS CATHEDRAL SCHOOL, LIMITED",False
WEST LONDON COLLEGE GROUP LTD,"Ealing,Hammersmith & Wl College, Gliddon Road,
London,
United Kingdom,
W14 9BL",09795192,85320,7.50,11.90,0.20,0.00,0.40,0.00,34.00,66.00,38.00,62.00,47.00,53.00,47.00,53.00,,John Humphreys (HR Director),500 to 999,WEST LONDON COLLEGE GROUP LTD,False
WOKING HOSPICE,"Woking Hospice, The Goldsworth Park Centre,
Woking,
England,
GU21 3LG",03955487,86220,-14.70,-36.20,0.00,0.00,0.00,0.00,25.90,74.10,8.80,91.20,12.10,87.90,8.80,91.20,https://www.wsbhospices.co.uk/about-us/information-governance/post-4952/,Lynne Mackintosh (Finance Director),250 to 499,WOKING HOSPICE,False
WOLVERHAMPTON HOMES LIMITED,"Hickman Avenue,
Chillington Fields,
Wolverhampton,
United Kingdom,
WV1 2BY",05441967,68320,12.00,17.00,0.00,0.00,0.00,0.00,48.00,52.00,52.00,48.00,89.00,11.00,77.00,23.00,https://www.wolverhamptonhomes.org.uk/GenderPayGap-Dec17.pdf,Lesley Roberts (Chief Executive),500 to 999,WOLVERHAMPTON HOMES LIMITED,False
YORKSHIRE COAST HOMES LIMITED,"Brook House, 4 Gladstone Road,
Scarborough,
North Yorkshire,
YO12 7BH",04438271,55900,10.40,12.50,-11.20,0.00,91.00,97.00,57.00,43.00,67.00,33.00,68.00,32.00,75.00,25.00,,Debbie Gordon (Director of Resources),Less than 250,YORKSHIRE COAST HOMES LIMITED,False
YOUNG WORLD LEISURE GROUP LIMITED,"Bridge House, 23 Bridge Street,
St Ives,
Cambridgeshire,
PE27 5EH",02764956,88910,1.60,0.00,0.00,0.00,0.00,0.00,26.00,74.00,27.00,73.00,27.00,73.00,31.00,69.00,https://www.barracudas.co.uk/why-barracudas/news/2017-barracudas-gender-pay-gap-report/,Neil Greatorex (Director),500 to 999,YOUNG WORLD LEISURE GROUP LIMITED,False
